Epoch,G_Loss,D_Loss
1,2.215481758117676,1.6874226331710815
2,1.5890871286392212,1.5502889156341553
3,1.731943964958191,2.017711639404297
4,1.308910608291626,1.8696779012680054
5,1.0732882022857666,1.9519705772399902
6,1.1204414367675781,1.918774127960205
7,0.9288033843040466,1.9340846538543701
8,1.1084911823272705,2.003570079803467
9,1.0515034198760986,1.9680976867675781
10,0.7811108827590942,1.9587161540985107
11,1.064064860343933,1.9503147602081299
12,1.1111661195755005,1.9482277631759644
13,0.7927473187446594,1.9394361972808838
14,0.9613989591598511,1.9372304677963257
15,0.6220310926437378,1.9482887983322144
16,0.7629135847091675,2.0094923973083496
17,0.6090195178985596,2.0110926628112793
18,0.6071423888206482,2.002500057220459
19,0.3960268795490265,1.9976704120635986
20,0.2890804409980774,2.0095181465148926
21,0.37208154797554016,2.0022854804992676
22,0.1566694676876068,2.0006349086761475
23,0.15067823231220245,2.0011062622070312
24,0.026674922555685043,2.0026233196258545
25,-0.10142683982849121,2.0007972717285156
26,0.2592470943927765,1.999208927154541
27,0.13685393333435059,2.0036327838897705
28,0.1474262923002243,2.0047240257263184
29,0.29260680079460144,2.005988836288452
30,0.2421865016222,1.984985113143921
31,0.11394449323415756,1.9990931749343872
32,0.21294890344142914,2.0059428215026855
33,0.24116045236587524,2.007516622543335
34,0.21549467742443085,2.004333019256592
35,0.16676227748394012,2.0008676052093506
36,0.20943616330623627,2.0041990280151367
37,0.3434491455554962,2.005847930908203
38,0.21318772435188293,1.9925577640533447
39,0.16602599620819092,2.0003044605255127
40,0.031375885009765625,2.006284236907959
41,0.3718254864215851,2.0030579566955566
42,0.26740795373916626,2.006614923477173
43,0.46042314171791077,1.996313214302063
44,0.3124535381793976,1.9918920993804932
45,0.3344714343547821,1.9971507787704468
46,0.32887086272239685,2.0114006996154785
47,0.07375720143318176,2.0064687728881836
48,0.16091078519821167,1.996626377105713
49,0.2051515281200409,1.9998588562011719
50,0.07841559499502182,1.9925875663757324
51,0.0932050570845604,1.9970260858535767
52,0.19528517127037048,2.0147972106933594
53,0.17722100019454956,1.9907363653182983
54,0.1613466441631317,1.9906600713729858
55,0.11328507959842682,1.9989928007125854
56,0.1775992512702942,1.9799432754516602
57,0.24910417199134827,2.002213716506958
58,0.19885055720806122,2.0094351768493652
59,0.2748577892780304,1.9887340068817139
60,0.4574984014034271,1.984985589981079
61,0.35506007075309753,2.004434108734131
62,0.3356817066669464,1.9928369522094727
63,-0.0069256192073225975,2.00632905960083
64,0.1189635619521141,2.008577585220337
65,0.5285691618919373,2.002103567123413
66,0.32358190417289734,2.002253293991089
67,0.008264695294201374,1.9847095012664795
68,0.2897985279560089,2.001863956451416
69,0.6695307493209839,1.9996976852416992
70,0.47454705834388733,1.9952361583709717
71,0.36130958795547485,2.0006327629089355
72,0.47549575567245483,2.006251811981201
73,0.6057140231132507,1.969975233078003
74,0.533863365650177,1.9992557764053345
75,0.6566036343574524,1.9993971586227417
76,0.6777707934379578,2.0004801750183105
77,0.7370998859405518,2.0031869411468506
78,0.8309939503669739,2.000424385070801
79,0.7600168585777283,2.0020384788513184
80,0.8527176976203918,1.9933909177780151
81,0.8802889585494995,1.9971413612365723
82,0.7681313157081604,2.0017385482788086
83,0.7406121492385864,1.9989912509918213
84,0.8188729286193848,2.003755807876587
85,0.7735354900360107,2.0008206367492676
86,0.7830323576927185,1.9923533201217651
87,0.760214626789093,1.996908187866211
88,0.8101513385772705,2.0016932487487793
89,0.8048096299171448,2.0002944469451904
90,0.8537405729293823,1.9940366744995117
91,0.8528959155082703,1.9968374967575073
92,0.7861485481262207,1.9955939054489136
93,0.7483459115028381,1.9940847158432007
94,0.7253573536872864,2.002734899520874
95,0.683834969997406,2.0004360675811768
96,0.7014560699462891,2.0003273487091064
97,0.8098106980323792,1.994361162185669
98,0.8061923384666443,1.9949944019317627
99,0.8379809856414795,1.9998116493225098
100,0.8070372939109802,1.9887285232543945
101,0.7654020190238953,1.994899034500122
102,0.8360269069671631,1.9968998432159424
103,0.8397157788276672,1.9988666772842407
104,0.7253512144088745,1.9955848455429077
105,0.7030519247055054,2.004605770111084
106,0.670864999294281,2.0011048316955566
107,0.6929755210876465,1.9968655109405518
108,0.6822136640548706,1.9987398386001587
109,0.552664041519165,1.9984772205352783
110,0.550503671169281,2.0020036697387695
111,0.5753989815711975,1.999139428138733
112,0.5743106603622437,2.0019705295562744
113,0.5222208499908447,2.0033109188079834
114,0.6232311725616455,1.9944390058517456
115,0.5746516585350037,1.9986811876296997
116,0.5621249675750732,2.005721092224121
117,0.564533531665802,1.9935383796691895
118,0.5954581499099731,1.9962716102600098
119,0.5932446122169495,2.003387212753296
120,0.5859758853912354,1.9953041076660156
121,0.6032565236091614,1.9959667921066284
122,0.5492393374443054,1.994046926498413
123,0.5430406928062439,1.9843906164169312
124,0.5528208017349243,1.9945427179336548
125,0.7545668482780457,1.9986320734024048
126,0.5535708069801331,1.9999122619628906
127,0.7070444226264954,1.9933041334152222
