sequence,fake_file,FID
K02_A010_R01,K02_A010_R01_label_9.npy,91.01617820686668
K02_A010_R02,K02_A010_R02_label_9.npy,91.5223331702714
K02_A010_R03,K02_A010_R03_label_9.npy,98.34383591328135
K02_A010_R04,K02_A010_R04_label_9.npy,204.10355592635753
K02_A011_R01,K02_A011_R01_label_10.npy,14.212372957175079
K02_A011_R02,K02_A011_R02_label_10.npy,1.8596390929464974
K02_A011_R03,K02_A011_R03_label_10.npy,5.128962236792167
K02_A011_R04,K02_A011_R04_label_10.npy,21.19188032681482
K02_A012_R01,K02_A012_R01_label_11.npy,31.44978992915624
K02_A012_R02,K02_A012_R02_label_11.npy,11.778695182990107
K02_A012_R03,K02_A012_R03_label_11.npy,18.463105900495595
K02_A012_R04,K02_A012_R04_label_11.npy,37.99921464543494
K02_A013_R01,K02_A013_R01_label_12.npy,4.093830953647968
K02_A013_R02,K02_A013_R02_label_12.npy,8.030907756665592
K02_A013_R03,K02_A013_R03_label_12.npy,6.789870005970622
K02_A013_R04,K02_A013_R04_label_12.npy,4.3726180809968715
K02_A014_R01,K02_A014_R01_label_13.npy,7.199726962021153
K02_A014_R02,K02_A014_R02_label_13.npy,8.077275349204434
K02_A014_R03,K02_A014_R03_label_13.npy,7.477636408871917
K02_A014_R04,K02_A014_R04_label_13.npy,1.1757811279093169
K02_A015_R01,K02_A015_R01_label_14.npy,6.393409024251486
K02_A015_R02,K02_A015_R02_label_14.npy,6.594018508466779
K02_A015_R03,K02_A015_R03_label_14.npy,4.17929738454799
K02_A015_R04,K02_A015_R04_label_14.npy,17.822757075526493
K03_A001_R01,K03_A001_R01_label_0.npy,19.67600103564306
K03_A001_R02,K03_A001_R02_label_0.npy,22.08689209222479
K03_A001_R03,K03_A001_R03_label_0.npy,28.457131012491658
K03_A001_R04,K03_A001_R04_label_0.npy,25.975714762925517
K03_A002_R01,K03_A002_R01_label_1.npy,114.81943288944544
K03_A002_R02,K03_A002_R02_label_1.npy,65.4556056949279
K03_A002_R03,K03_A002_R03_label_1.npy,23.854514525677327
K03_A002_R04,K03_A002_R04_label_1.npy,65.92156152942594
K03_A003_R01,K03_A003_R01_label_2.npy,14.491684750995216
K03_A003_R02,K03_A003_R02_label_2.npy,9.246109244838289
K03_A003_R03,K03_A003_R03_label_2.npy,18.188787621456985
K03_A003_R04,K03_A003_R04_label_2.npy,36.02800549678096
K03_A004_R01,K03_A004_R01_label_3.npy,4.846753672311376
K03_A004_R02,K03_A004_R02_label_3.npy,4.844348153401414
K03_A004_R03,K03_A004_R03_label_3.npy,2.790184848973076
K03_A004_R04,K03_A004_R04_label_3.npy,6.070576659245431
K03_A005_R01,K03_A005_R01_label_4.npy,12.289843982252027
K03_A005_R02,K03_A005_R02_label_4.npy,8.016672770108542
K03_A005_R03,K03_A005_R03_label_4.npy,3.7882383241218713
K03_A005_R04,K03_A005_R04_label_4.npy,11.622357042930041
K03_A006_R01,K03_A006_R01_label_5.npy,9.754178960033851
K03_A006_R02,K03_A006_R02_label_5.npy,9.238345184128402
K03_A006_R03,K03_A006_R03_label_5.npy,18.360414598260135
K03_A006_R04,K03_A006_R04_label_5.npy,19.01221733361164
K03_A007_R01,K03_A007_R01_label_6.npy,5.455347333273522
K03_A007_R02,K03_A007_R02_label_6.npy,7.047251185445333
K03_A007_R03,K03_A007_R03_label_6.npy,4.995442415965385
K03_A007_R04,K03_A007_R04_label_6.npy,8.131644313938697
K03_A008_R01,K03_A008_R01_label_7.npy,3.8395323453119365
K03_A008_R02,K03_A008_R02_label_7.npy,2.5566766629319977
K03_A008_R03,K03_A008_R03_label_7.npy,4.304083457039108
K03_A008_R04,K03_A008_R04_label_7.npy,3.1388157616757244
K03_A009_R01,K03_A009_R01_label_8.npy,5.312005881636742
K03_A009_R02,K03_A009_R02_label_8.npy,2.0597217729921082
K03_A009_R03,K03_A009_R03_label_8.npy,3.7340104809344457
K03_A009_R04,K03_A009_R04_label_8.npy,4.087523077716943
K03_A010_R01,K03_A010_R01_label_9.npy,9.220833111146922
K03_A010_R02,K03_A010_R02_label_9.npy,38.66474995067241
K03_A010_R03,K03_A010_R03_label_9.npy,35.627088124476714
K03_A010_R04,K03_A010_R04_label_9.npy,21.661399044914763
K03_A011_R01,K03_A011_R01_label_10.npy,1.9800847669139032
K03_A011_R02,K03_A011_R02_label_10.npy,8.051296928660976
K03_A011_R03,K03_A011_R03_label_10.npy,1.4823951833449645
K03_A011_R04,K03_A011_R04_label_10.npy,1.3662743213374833
K03_A012_R01,K03_A012_R01_label_11.npy,2.7740314763021603
K03_A012_R02,K03_A012_R02_label_11.npy,1.219404354793733
K03_A012_R03,K03_A012_R03_label_11.npy,3.0453246668986744
K03_A012_R04,K03_A012_R04_label_11.npy,3.6263749468341704
K03_A013_R01,K03_A013_R01_label_12.npy,1.9595898434574603
K03_A013_R02,K03_A013_R02_label_12.npy,0.8527104671920318
K03_A013_R03,K03_A013_R03_label_12.npy,1.0797271272025624
K03_A013_R04,K03_A013_R04_label_12.npy,2.728924216535357
K03_A014_R01,K03_A014_R01_label_13.npy,3.3569043385165673
K03_A014_R02,K03_A014_R02_label_13.npy,6.052747181044129
K03_A014_R03,K03_A014_R03_label_13.npy,6.77686631041014
K03_A014_R04,K03_A014_R04_label_13.npy,3.1351231700071795
K03_A015_R01,K03_A015_R01_label_14.npy,4.814068261896581
K03_A015_R02,K03_A015_R02_label_14.npy,4.544916992178878
K03_A015_R03,K03_A015_R03_label_14.npy,7.072074444481295
K03_A015_R04,K03_A015_R04_label_14.npy,27.664513255509384
K04_A001_R01,K04_A001_R01_label_0.npy,6.129649745397536
K04_A001_R02,K04_A001_R02_label_0.npy,4.857795265229496
K04_A001_R03,K04_A001_R03_label_0.npy,6.822313015512731
