Epoch,G_Loss,D_Loss
1,0.8873646259307861,2.0189781188964844
2,1.3376498222351074,1.9742146730422974
3,0.5147424936294556,1.9975049495697021
4,1.213765025138855,1.986886739730835
5,0.5518495440483093,1.987308144569397
6,0.7069414854049683,1.9657648801803589
7,1.140114665031433,2.004586696624756
8,1.0729572772979736,1.9644495248794556
9,0.7844958901405334,1.945590615272522
10,1.3234493732452393,1.93834388256073
11,0.8933343291282654,1.9399346113204956
12,0.4291287660598755,1.9527941942214966
13,0.6609123349189758,2.006871223449707
14,1.0977870225906372,1.9004777669906616
15,0.7010290622711182,1.9311065673828125
16,0.8851171731948853,2.0045101642608643
17,1.3248990774154663,1.9511744976043701
18,1.0489319562911987,1.9544694423675537
19,0.6429207921028137,2.0104658603668213
20,0.8143563866615295,1.9960967302322388
21,0.8729444146156311,1.9551575183868408
22,1.4433263540267944,1.8755452632904053
